sector_name,growth_norm,productivity_norm,spillover_norm,export_norm,labor_norm,ai_readiness_norm,automation_risk_norm,good_part,risk_component,priority_score
Nông-Lâm-Thủy sản,0.40161725067385445,0.0,0.08064516129032255,0.13922310072189756,1.0,0.0,1.0,0.20468556502881108,0.1,0.30468556502881106
Công nghiệp chế biến chế tạo,0.9739442946990118,0.11621274228307236,0.7741935483870968,1.0,0.8682170542635659,0.547945205479452,0.3513513513513513,0.632267917856118,0.03513513513513513,0.6674030529912531
Xây dựng,0.7771787960467207,0.055155169877923245,0.19354838709677416,0.008594018563080097,0.34883720930232565,0.0684931506849315,0.8108108108108107,0.22673054004301416,0.08108108108108109,0.3078116211240952
Khai khoáng,0.0,1.0,0.0,0.028188380886902717,0.0,0.2054794520547945,0.0,0.19682308565293352,0.0,0.19682308565293352
Bán buôn-bán lẻ,0.7457322551662174,0.035367192007874464,0.40322580645161293,0.018906840838776213,0.5813953488372093,0.4520547945205479,0.45945945945945943,0.3375219454078744,0.04594594594594595,0.3834678913538203
Tài chính-Ngân hàng-Bảo hiểm,0.7690925426774484,0.8164435946462715,0.8870967741935483,0.004125128910278446,0.019379844961240317,0.7808219178082192,0.08108108108108103,0.53845012608919,0.008108108108108103,0.5465582341972981
Logistics-Vận tải-Kho bãi,1.0,0.1840881577607567,0.6774193548387095,0.010656583018219321,0.12790697674418605,0.3698630136986301,0.5405405405405406,0.3913019035046647,0.05405405405405406,0.44535595755871876
Thông tin-Truyền thông-CNTT,0.8131176999101527,0.5155739221612287,1.0,0.6118941216913029,0.0248062015503876,1.0,0.7297297297297297,0.6369988107214453,0.07297297297297298,0.7099717836944183
Giáo dục-Đào tạo,0.6846361185983828,0.08660986396768336,0.564516129032258,0.0,0.1434108527131783,0.3150684931506849,0.8918918918918919,0.2921667044031269,0.0891891891891892,0.38135589359231614
Y tế-Chăm sóc sức khỏe,0.7232704402515723,0.281659067509928,0.4838709677419354,0.0,0.034883720930232565,0.410958904109589,1.0,0.3219152816361387,0.1,0.4219152816361387
