region,region_name,item,item_name,allocation,beta,value_contribution,digital_after
NMM,Trung du miền núi phía Bắc,I,Hạ tầng số,0.0,1.15,0.0,55.99918000000001
NMM,Trung du miền núi phía Bắc,D,Chuyển đổi số,8999.590000000004,0.85,7649.651500000003,55.99918000000001
NMM,Trung du miền núi phía Bắc,AI,AI và dữ liệu,0.0,0.55,0.0,55.99918000000001
NMM,Trung du miền núi phía Bắc,H,Nhân lực số,3000.4099999999953,1.3,3900.532999999994,55.99918000000001
RRD,Đồng bằng sông Hồng,I,Hạ tầng số,0.0,0.95,0.0,78.0
RRD,Đồng bằng sông Hồng,D,Chuyển đổi số,0.0,1.25,0.0,78.0
RRD,Đồng bằng sông Hồng,AI,AI và dữ liệu,5000.0,1.4,7000.0,78.0
RRD,Đồng bằng sông Hồng,H,Nhân lực số,0.0,1.05,0.0,78.0
NCC,Bắc Trung Bộ và duyên hải miền Trung,I,Hạ tầng số,0.0,1.05,0.0,55.99918000000001
NCC,Bắc Trung Bộ và duyên hải miền Trung,D,Chuyển đổi số,499.59000000000486,0.95,474.6105000000046,55.99918000000001
NCC,Bắc Trung Bộ và duyên hải miền Trung,AI,AI và dữ liệu,0.0,0.85,0.0,55.99918000000001
NCC,Bắc Trung Bộ và duyên hải miền Trung,H,Nhân lực số,4500.409999999995,1.15,5175.471499999994,55.99918000000001
CH,Tây Nguyên,I,Hạ tầng số,0.0,1.2,0.0,55.99918000000001
CH,Tây Nguyên,D,Chuyển đổi số,11999.590000000004,0.75,8999.692500000003,55.99918000000001
CH,Tây Nguyên,AI,AI và dữ liệu,0.0,0.45,0.0,55.99918000000001
CH,Tây Nguyên,H,Nhân lực số,0.4099999999951365,1.35,0.5534999999934342,55.99918000000001
SE,Đông Nam Bộ,I,Hạ tầng số,0.0,0.9,0.0,82.0
SE,Đông Nam Bộ,D,Chuyển đổi số,0.0,1.3,0.0,82.0
SE,Đông Nam Bộ,AI,AI và dữ liệu,7501.639999999982,1.55,11627.541999999972,82.0
SE,Đông Nam Bộ,H,Nhân lực số,0.0,1.0,0.0,82.0
MD,Đồng bằng sông Cửu Long,I,Hạ tầng số,0.0,1.1,0.0,55.99918000000001
MD,Đồng bằng sông Cửu Long,D,Chuyển đổi số,3999.5900000000047,0.85,3399.651500000004,55.99918000000001
MD,Đồng bằng sông Cửu Long,AI,AI và dữ liệu,0.0,0.65,0.0,55.99918000000001
MD,Đồng bằng sông Cửu Long,H,Nhân lực số,4498.770000000013,1.25,5623.462500000016,55.99918000000001
