ai_weight,region_name,rank,topsis_score,is_top_rank
0.05,Đông Nam Bộ,1,0.935754239396011,1
0.05,Đồng bằng sông Hồng,2,0.9172545628653472,0
0.05,Bắc Trung Bộ và duyên hải miền Trung,3,0.3662869056714617,0
0.05,Đồng bằng sông Cửu Long,4,0.16373271377334755,0
0.05,Trung du miền núi phía Bắc,5,0.11593147569282125,0
0.05,Tây Nguyên,6,0.04644833844233712,0
0.1,Đông Nam Bộ,1,0.9381363807921601,1
0.1,Đồng bằng sông Hồng,2,0.9140907527409973,0
0.1,Bắc Trung Bộ và duyên hải miền Trung,3,0.3676628641121561,0
0.1,Đồng bằng sông Cửu Long,4,0.16711790865845172,0
0.1,Trung du miền núi phía Bắc,5,0.11331143281826889,0
0.1,Tây Nguyên,6,0.044780178345859324,0
0.15,Đông Nam Bộ,1,0.9421197000616202,1
0.15,Đồng bằng sông Hồng,2,0.9091814159151677,0
0.15,Bắc Trung Bộ và duyên hải miền Trung,3,0.3698711506581551,0
0.15,Đồng bằng sông Cửu Long,4,0.17249469764520567,0
0.15,Trung du miền núi phía Bắc,5,0.10898787359524975,0
0.15,Tây Nguyên,6,0.041974840411022125,0
0.2,Đông Nam Bộ,1,0.94731409145187,1
0.2,Đồng bằng sông Hồng,2,0.9034216689354165,0
0.2,Bắc Trung Bộ và duyên hải miền Trung,3,0.37256711003050696,0
0.2,Đồng bằng sông Cửu Long,4,0.17898051413037563,0
0.2,Trung du miền núi phía Bắc,5,0.1034847228006539,0
0.2,Tây Nguyên,6,0.03828906323622453,0
0.25,Đông Nam Bộ,1,0.9531416959315734,1
0.25,Đồng bằng sông Hồng,2,0.8977374652195823,0
0.25,Bắc Trung Bộ và duyên hải miền Trung,3,0.37532832007755224,0
0.25,Đồng bằng sông Cửu Long,4,0.18555316808350528,0
0.25,Trung du miền núi phía Bắc,5,0.09754605721828694,0
0.25,Tây Nguyên,6,0.03412117747137447,0
0.3,Đông Nam Bộ,1,0.9590601855637784,1
0.3,Đồng bằng sông Hồng,2,0.8927385935304454,0
0.3,Bắc Trung Bộ và duyên hải miền Trung,3,0.3778302330121235,0
0.3,Đồng bằng sông Cửu Long,4,0.19146287095256728,0
0.3,Trung du miền núi phía Bắc,5,0.09184609798198325,0
0.3,Tây Nguyên,6,0.029858109024616396,0
0.35,Đông Nam Bộ,1,0.9646926573417945,1
0.35,Đồng bằng sông Hồng,2,0.888665336812047,0
0.35,Bắc Trung Bộ và duyên hải miền Trung,3,0.3799142030224081,0
0.35,Đồng bằng sông Cửu Long,4,0.19636163468767645,0
0.35,Trung du miền núi phía Bắc,5,0.08681760294907703,0
0.35,Tây Nguyên,6,0.025777989149045378,0
0.4,Đông Nam Bộ,1,0.9698400081112769,1
0.4,Đồng bằng sông Hồng,2,0.8855052009441731,0
0.4,Bắc Trung Bộ và duyên hải miền Trung,3,0.3815561592716144,0
0.4,Đồng bằng sông Cửu Long,4,0.200210937254977,0
0.4,Trung du miền núi phía Bắc,5,0.0826402270120364,0
0.4,Tây Nguyên,6,0.022033886993984415,0
