year,share_K,share_D,share_AI,share_H
2026,0.060000000000000046,0.9,0.02,0.02
2027,0.060000000000000046,0.9,0.02,0.02
2028,0.05999999999999945,0.9000000000000004,0.020000000000000257,0.020000000000000007
2029,0.060000000000000116,0.8999999999999998,0.020000000000000028,0.019999999999999997
2030,0.05999999999999971,0.9000000000000002,0.020000000000000004,0.020000000000000004
2031,0.059999999999999984,0.9,0.02,0.02
2032,0.059999999999999665,0.9000000000000001,0.020000000000000004,0.020000000000000046
2033,0.059999999999999644,0.9000000000000004,0.02000000000000004,0.020000000000000007
2034,0.059999999999999866,0.9000000000000001,0.020000000000000004,0.020000000000000004
2035,0.25000000000000094,0.25000000000000366,0.24999999999999617,0.2499999999999992
