year,K,L,D,AI,H,A,Y,Y_pre_shock,C,investment_budget,share_K,share_D,share_AI,share_H,discounted_log_C
2026,27500.0,53.9,20.3,86.0,30.0,1.0,381.20188373177757,381.20188373177757,274.46535628687985,106.73652744489773,0.060000000000000046,0.9,0.02,0.02,5.614825046379688
2027,26131.404191646692,54.2234,18.152188624101225,73.10426946109779,30.206831137756474,1.0176567612577605,373.45574349299824,373.45574349299824,268.88813531495873,104.56760817803952,0.060000000000000046,0.9,0.02,0.02,5.426466576085024
2028,24831.108038555038,54.5487404,16.256258531289784,62.142811746260236,30.40938684192474,1.0359713782520275,366.0411600961961,366.0411600961961,263.5496352692612,102.49152482693492,0.05999999999999945,0.9000000000000004,0.020000000000000257,0.020000000000000007,5.244804033769802
2029,23595.702128116904,54.8760328424,14.582234624567734,52.82548964531428,30.60775856267517,1.0549166365360083,358.93171554669436,358.93171554669436,258.43083519361994,100.50088035307444,0.060000000000000116,0.8999999999999998,0.020000000000000028,0.019999999999999997,5.069559088291364
2030,22421.947074532243,55.2052890394544,13.103718846572907,44.90568623373126,30.80203544776426,1.0744703118236825,352.1053537862492,352.1053537862492,253.51585472609943,98.58949906014979,0.05999999999999971,0.9000000000000002,0.020000000000000004,0.020000000000000004,4.900473160664485
2031,21306.76509074924,55.53652077369112,11.797464232446563,38.17377687863397,30.992304466748827,1.0946144700292688,345.5436010916204,345.5436010916204,248.79139278596668,96.75220830565372,0.059999999999999984,0.9,0.02,0.02,4.737304805689272
2032,20247.231968710115,55.86973989833327,10.64299948697824,32.4515804351711,31.17865051874541,1.1153348785211388,339.2309182788404,339.2309182788404,244.2462611607651,94.98465711807533,0.059999999999999665,0.9000000000000001,0.020000000000000004,0.020000000000000046,4.579827505298814
2033,19240.569449701696,56.20495833772327,9.622298122759656,27.58764275618016,31.36115652642606,1.1366205089556891,333.15415963775274,333.15415963775274,239.87099493918197,93.28316469857077,0.059999999999999644,0.9000000000000004,0.02000000000000004,0.020000000000000007,4.427827803916606
2034,18284.137967098522,56.54218808774961,8.719486892714638,23.45322766934108,31.53990351843825,1.1584631159855139,327.30211889159733,327.30211889159733,235.65752560195006,91.64459328964726,0.059999999999999866,0.9000000000000001,0.020000000000000004,0.020000000000000004,4.281103729109591
2035,17375.429744340978,56.88144121627611,7.920588867470929,19.9389093026715,31.714970702040024,1.180856879182748,321.6651467145486,321.6651467145486,231.598905634475,90.06624108007361,0.25000000000000094,0.25000000000000366,0.24999999999999617,0.2499999999999992,4.1394634515366695
